Protein Uniprot,Protein names,Length,Mass
Q9NQX7,Integral membrane protein 2C (Cerebral protein 14) (Transmembrane protein BRI3) [Cleaved into: CT-BRI3],267,30224
Q9NQY0,Bridging integrator 3,253,29665
Q9NQZ2,Something about silencing protein 10 (Charged amino acid-rich leucine zipper 1) (CRL1) (Disrupter of silencing SAS10) (UTP3 homolog),479,54558
Q9NQZ3,Deleted in azoospermia protein 1,744,82764
Q9NQZ6,Zinc finger C4H2 domain-containing protein (Hepatocellular carcinoma-associated antigen 127),224,26244
Q9NQZ7,Ectonucleoside triphosphate diphosphohydrolase 7 (NTPDase 7) (EC 3.6.1.15) (Lysosomal apyrase-like protein 1),604,68960
Q9NQZ8,Endothelial zinc finger protein induced by tumor necrosis factor alpha (Zinc finger protein 71),489,54498
Q9NR00,Transcriptional and immune response regulator (Thyroid cancer protein 1) (TC-1),106,12337
Q9NR09,Baculoviral IAP repeat-containing protein 6 (EC 2.3.2.27) (BIR repeat-containing ubiquitin-conjugating enzyme) (BRUCE) (RING-type E3 ubiquitin transferase BIRC6) (Ubiquitin-conjugating BIR domain enzyme apollon) (APOLLON),4857,530269
Q9NR11,Zinc finger protein 302 (Zinc finger protein 135-like) (Zinc finger protein 140-like) (Zinc finger protein 327),478,54814
Q9NR12,PDZ and LIM domain protein 7 (LIM mineralization protein) (LMP) (Protein enigma),457,49845
Q9NR16,Scavenger receptor cysteine-rich type 1 protein M160 (CD163 antigen-like 1) (CD antigen CD163b),1453,159239
Q9NR19,"Acetyl-coenzyme A synthetase, cytoplasmic (EC 6.2.1.1) (Acetate--CoA ligase) (Acetyl-CoA synthetase) (ACS) (AceCS) (Acetyl-CoA synthetase 1) (AceCS1) (Acyl-CoA synthetase short-chain family member 2) (Acyl-activating enzyme) (Propionate--CoA ligase) (EC 6.2.1.17)",701,78580
Q9NR20,Dual specificity tyrosine-phosphorylation-regulated kinase 4 (EC 2.7.12.1),520,59608
Q9NR21,Protein mono-ADP-ribosyltransferase PARP11 (EC 2.4.2.-) (ADP-ribosyltransferase diphtheria toxin-like 11) (ARTD11) (Poly [ADP-ribose] polymerase 11) (PARP-11),338,39597
Q9NR22,Protein arginine N-methyltransferase 8 (EC 2.1.1.319) (Heterogeneous nuclear ribonucleoprotein methyltransferase-like protein 4),394,45291
Q9NR23,Growth/differentiation factor 3 (GDF-3),364,41387
Q9NR28,"Diablo IAP-binding mitochondrial protein (Diablo homolog, mitochondrial) (Direct IAP-binding protein with low pI) (Second mitochondria-derived activator of caspase) (Smac)",239,27131
Q9NR30,Nucleolar RNA helicase 2 (EC 3.6.4.13) (DEAD box protein 21) (Gu-alpha) (Nucleolar RNA helicase Gu) (Nucleolar RNA helicase II) (RH II/Gu),783,87344
Q9NR31,GTP-binding protein SAR1a (COPII-associated small GTPase),198,22367
Q9NR33,DNA polymerase epsilon subunit 4 (DNA polymerase II subunit 4) (DNA polymerase epsilon subunit p12),117,12209
Q9NR34,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IC (EC 3.2.1.113) (HMIC) (Mannosidase alpha class 1C member 1) (Processing alpha-1,2-mannosidase IC) (Alpha-1,2-mannosidase IC)",630,70911
Q9NR45,Sialic acid synthase (N-acetylneuraminate synthase) (EC 2.5.1.56) (N-acetylneuraminate-9-phosphate synthase) (EC 2.5.1.57) (N-acetylneuraminic acid phosphate synthase) (N-acetylneuraminic acid synthase),359,40308
Q9NR46,Endophilin-B2 (SH3 domain-containing GRB2-like protein B2),395,43974
Q9NR48,Histone-lysine N-methyltransferase ASH1L (EC 2.1.1.359) (EC 2.1.1.367) (ASH1-like protein) (huASH1) (Absent small and homeotic disks protein 1 homolog) (Lysine N-methyltransferase 2H),2969,332790
Q9NR50,Translation initiation factor eIF-2B subunit gamma (eIF-2B GDP-GTP exchange factor subunit gamma),452,50240
Q9NR55,Basic leucine zipper transcriptional factor ATF-like 3 (B-ATF-3) (21 kDa small nuclear factor isolated from T-cells) (Jun dimerization protein p21SNFT),127,14468
Q9NR56,Muscleblind-like protein 1 (Triplet-expansion RNA-binding protein),388,41817
Q9NR61,Delta-like protein 4 (Drosophila Delta homolog 4) (Delta4),685,74605
Q9NR63,Cytochrome P450 26B1 (EC 1.14.13.-) (Cytochrome P450 26A2) (Cytochrome P450 retinoic acid-inactivating 2) (Cytochrome P450RAI-2) (Retinoic acid-metabolizing cytochrome),512,57513
Q9NR71,Neutral ceramidase (N-CDase) (NCDase) (EC 3.5.1.-) (EC 3.5.1.23) (Acylsphingosine deacylase 2) (BCDase) (LCDase) (hCD) (N-acylsphingosine amidohydrolase 2) (Non-lysosomal ceramidase) [Cleaved into: Neutral ceramidase soluble form],780,85516
Q9NR80,Rho guanine nucleotide exchange factor 4 (APC-stimulated guanine nucleotide exchange factor 1) (Asef) (Asef1),690,79067
Q9NR81,Rho guanine nucleotide exchange factor 3 (Exchange factor found in platelets and leukemic and neuronal tissues) (XPLN),526,59783
Q9NR82,Potassium voltage-gated channel subfamily KQT member 5 (KQT-like 5) (Potassium channel subunit alpha KvLQT5) (Voltage-gated potassium channel subunit Kv7.5),932,102179
Q9NR83,SLC2A4 regulator (GLUT4 enhancer factor) (GEF) (Huntington disease gene regulatory region-binding protein 1) (HDBP-1),387,41267
Q9NR90,Deleted in azoospermia protein 3,486,54989
Q9NR96,Toll-like receptor 9 (CD antigen CD289),1032,115860
Q9NR97,Toll-like receptor 8 (CD antigen CD288),1041,119828
Q9NR99,Matrix-remodeling-associated protein 5 (Adhesion protein with leucine-rich repeats and immunoglobulin domains related to perlecan) (Adlican),2828,312150
Q9NRA0,Sphingosine kinase 2 (SK 2) (SPK 2) (EC 2.7.1.91),654,69217
Q9NRA1,"Platelet-derived growth factor C (PDGF-C) (Fallotein) (Spinal cord-derived growth factor) (SCDGF) (VEGF-E) [Cleaved into: Platelet-derived growth factor C, latent form (PDGFC latent form); Platelet-derived growth factor C, receptor-binding form (PDGFC receptor-binding form)]",345,39029
Q9NRA2,Sialin (H(+)/nitrate cotransporter) (H(+)/sialic acid cotransporter) (AST) (Membrane glycoprotein HP59) (Solute carrier family 17 member 5) (Vesicular excitatory amino acid transporter) (VEAT),495,54640
Q9NRA8,Eukaryotic translation initiation factor 4E transporter (4E-T) (eIF4E transporter) (Eukaryotic translation initiation factor 4E nuclear import factor 1),985,108201
Q9NRB3,Carbohydrate sulfotransferase 12 (EC 2.8.2.5) (Chondroitin 4-O-sulfotransferase 2) (Chondroitin 4-sulfotransferase 2) (C4ST-2) (C4ST2) (Sulfotransferase Hlo),414,48414
Q9NRC1,Suppressor of tumorigenicity 7 protein (Protein FAM4A1) (Protein HELG),585,67166
Q9NRC6,"Spectrin beta chain, non-erythrocytic 5 (Beta-V spectrin)",3674,416750
Q9NRC8,NAD-dependent protein deacetylase sirtuin-7 (EC 2.3.1.286) (NAD-dependent protein deacylase sirtuin-7) (EC 2.3.1.-) (Regulatory protein SIR2 homolog 7) (SIR2-like protein 7),400,44898
Q9NRD1,F-box only protein 6 (F-box protein that recognizes sugar chains 2) (F-box/G-domain protein 2),293,33933
Q9NRD5,PRKCA-binding protein (Protein interacting with C kinase 1) (Protein kinase C-alpha-binding protein),415,46600
Q9NRD8,Dual oxidase 2 (EC 1.11.1.-) (EC 1.6.3.1) (Large NOX 2) (Long NOX 2) (NADH/NADPH thyroid oxidase p138-tox) (NADPH oxidase/peroxidase DUOX2) (NADPH thyroid oxidase 2) (Thyroid oxidase 2) (p138 thyroid oxidase),1548,175364
Q9NRD9,Dual oxidase 1 (EC 1.11.1.-) (EC 1.6.3.1) (Large NOX 1) (Long NOX 1) (NADPH thyroid oxidase 1) (Thyroid oxidase 1),1551,177235
Q9NRE1,Matrix metalloproteinase-26 (MMP-26) (EC 3.4.24.-) (Endometase) (Matrilysin-2),261,29708
Q9NRE2,Teashirt homolog 2 (Ovarian cancer-related protein 10-2) (OVC10-2) (Zinc finger protein 218),1034,115005
Q9NRF2,"SH2B adapter protein 1 (Pro-rich, PH and SH2 domain-containing signaling mediator) (PSM) (SH2 domain-containing protein 1B)",756,79366
Q9NRF8,CTP synthase 2 (EC 6.3.4.2) (CTP synthetase 2) (UTP--ammonia ligase 2),586,65678
Q9NRF9,DNA polymerase epsilon subunit 3 (Arsenic-transactivated protein) (AsTP) (Chromatin accessibility complex 17 kDa protein) (CHRAC-17) (HuCHRAC17) (DNA polymerase II subunit 3) (DNA polymerase epsilon subunit p17),147,16860
Q9NRG0,Chromatin accessibility complex protein 1 (CHRAC-1) (Chromatin accessibility complex 15 kDa protein) (CHRAC-15) (HuCHRAC15) (DNA polymerase epsilon subunit p15),131,14711
Q9NRG1,Phosphoribosyltransferase domain-containing protein 1,225,25674
Q9NRG4,N-lysine methyltransferase SMYD2 (EC 2.1.1.-) (HSKM-B) (Histone methyltransferase SMYD2) (EC 2.1.1.354) (Lysine N-methyltransferase 3C) (SET and MYND domain-containing protein 2),433,49688
Q9NRG9,Aladin (Adracalin),546,59574
Q9NRH2,SNF-related serine/threonine-protein kinase (EC 2.7.11.1) (SNF1-related kinase),765,84276
Q9NRH3,Tubulin gamma-2 chain (Gamma-2-tubulin),451,51092
Q9NRI5,Disrupted in schizophrenia 1 protein,854,93611
Q9NRJ3,C-C motif chemokine 28 (Mucosae-associated epithelial chemokine) (MEC) (Protein CCK1) (Small-inducible cytokine A28),127,14280
Q9NRJ4,Tubby-related protein 4 (Tubby superfamily protein) (Tubby-like protein 4),1543,169000
Q9NRJ7,Protocadherin beta-16 (PCDH-beta-16) (Protocadherin-3X),776,84936
Q9NRK6,"ATP-binding cassette sub-family B member 10, mitochondrial (ABC-mitochondrial erythroid protein) (ABC-me protein) (ATP-binding cassette transporter 10) (ABC transporter 10 protein) (Mitochondrial ATP-binding cassette 2) (M-ABC2)",738,79148
Q9NRL2,Bromodomain adjacent to zinc finger domain protein 1A (ATP-dependent chromatin-remodeling protein) (ATP-utilizing chromatin assembly and remodeling factor 1) (hACF1) (CHRAC subunit ACF1) (Williams syndrome transcription factor-related chromatin-remodeling factor 180) (WCRF180) (hWALp1),1556,178702
Q9NRL3,Striatin-4 (Zinedin),753,80596
Q9NRM0,"Solute carrier family 2, facilitated glucose transporter member 9 (Glucose transporter type 9) (GLUT-9) (Urate transporter)",540,58702
Q9NRM1,Enamelin,1142,128785
Q9NRM6,Interleukin-17 receptor B (IL-17 receptor B) (IL-17RB) (Cytokine receptor-like 4) (IL-17 receptor homolog 1) (IL-17Rh1) (IL17Rh1) (Interleukin-17B receptor) (IL-17B receptor),502,55885
Q9NRM7,Serine/threonine-protein kinase LATS2 (EC 2.7.11.1) (Kinase phosphorylated during mitosis protein) (Large tumor suppressor homolog 2) (Serine/threonine-protein kinase kpm) (Warts-like kinase),1088,120136
Q9NRN7,L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase (EC 2.7.8.7) (4'-phosphopantetheinyl transferase) (Alpha-aminoadipic semialdehyde dehydrogenase-phosphopantetheinyl transferase) (AASD-PPT) (LYS5 ortholog),309,35776
Q9NRN9,rRNA N6-adenosine-methyltransferase METTL5 (EC 2.1.1.-) (Methyltransferase-like protein 5),209,23719
Q9NRP0,Oligosaccharyltransferase complex subunit OSTC (Hydrophobic protein HSF-28),149,16829
Q9NRP7,Serine/threonine-protein kinase 36 (EC 2.7.11.1) (Fused homolog),1315,143995
Q9NRQ2,Phospholipid scramblase 4 (PL scramblase 4) (Ca(2+)-dependent phospholipid scramblase 4) (Cell growth-inhibiting gene 43 protein) (TRA1),329,37005
Q9NRQ5,Single-pass membrane and coiled-coil domain-containing protein 4 (Protein FN5),59,6738
Q9NRR2,Tryptase gamma (EC 3.4.21.-) (Serine protease 31) (Transmembrane tryptase) [Cleaved into: Tryptase gamma light chain; Tryptase gamma heavy chain],321,33817
Q9NRR3,CDC42 small effector protein 2 (Small effector of CDC42 protein 2),84,9223
Q9NRR4,Ribonuclease 3 (EC 3.1.26.3) (Protein Drosha) (Ribonuclease III) (RNase III) (p241),1374,159316
Q9NRR5,Ubiquilin-4 (Ataxin-1 interacting ubiquitin-like protein) (A1Up) (Ataxin-1 ubiquitin-like-interacting protein A1U) (Connexin43-interacting protein of 75 kDa) (CIP75),601,63853
Q9NRR6,"Phosphatidylinositol polyphosphate 5-phosphatase type IV (72 kDa inositol polyphosphate 5-phosphatase) (Inositol polyphosphate-5-phosphatase E) (Phosphatidylinositol 4,5-bisphosphate 5-phosphatase) (EC 3.1.3.36) (Phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase) (EC 3.1.3.86)",644,70205
Q9NRR8,CDC42 small effector protein 1 (CDC42-binding protein SCIP1) (Small effector of CDC42 protein 1),79,8925
Q9NRS4,Transmembrane protease serine 4 (EC 3.4.21.-) (Channel-activating protease 2) (CAPH2) (Membrane-type serine protease 2) (MT-SP2) [Cleaved into: Transmembrane protease serine 4 catalytic chain],437,48246
Q9NRS6,Sorting nexin-15,342,38291
Q9NRW1,Ras-related protein Rab-6B (EC 3.6.5.2),208,23462
Q9NRW3,DNA dC->dU-editing enzyme APOBEC-3C (A3C) (EC 3.5.4.38) (APOBEC1-like) (Phorbolin I),190,22826
Q9NRW4,Dual specificity protein phosphatase 22 (EC 3.1.3.16) (EC 3.1.3.48) (JNK-stimulatory phosphatase-1) (JSP-1) (Low molecular weight dual specificity phosphatase 2) (LMW-DSP2) (Mitogen-activated protein kinase phosphatase x) (MAP kinase phosphatase x) (MKP-x),184,20910
Q9NRW7,Vacuolar protein sorting-associated protein 45 (h-VPS45) (hlVps45),570,65077
Q9NRX4,14 kDa phosphohistidine phosphatase (EC 3.9.1.3) (Phosphohistidine phosphatase 1) (PHPT1) (Protein histidine phosphatase) (PHP) (Protein janus-A homolog),125,13833
Q9NRX5,Serine incorporator 1 (Tumor differentially expressed protein 1-like) (Tumor differentially expressed protein 2),453,50495
Q9NRX6,Protein kish-B (Transmembrane protein 167B),74,8294
Q9NRY2,SOSS complex subunit C (INTS3- and NABP-interacting protein) (Sensor of single-strand DNA complex subunit C) (Sensor of ssDNA subunit C) (SOSS-C) (Single-stranded DNA-binding protein-interacting protein 1) (SSB-interacting protein 1) (hSSBIP1),104,11425
Q9NRY4,Rho GTPase-activating protein 35 (Glucocorticoid receptor DNA-binding factor 1) (Glucocorticoid receptor repression factor 1) (GRF-1) (Rho GAP p190A) (p190-A),1499,170514
Q9NRY6,Phospholipid scramblase 3 (PL scramblase 3) (Ca(2+)-dependent phospholipid scramblase 3),295,31648
Q9NRY7,Phospholipid scramblase 2 (PL scramblase 2) (Ca(2+)-dependent phospholipid scramblase 2),297,33504
Q9NRZ5,1-acyl-sn-glycerol-3-phosphate acyltransferase delta (EC 2.3.1.51) (1-acylglycerol-3-phosphate O-acyltransferase 4) (1-AGP acyltransferase 4) (1-AGPAT 4) (Lysophosphatidic acid acyltransferase delta) (LPAAT-delta),378,44021
Q9NRZ7,1-acyl-sn-glycerol-3-phosphate acyltransferase gamma (EC 2.3.1.51) (1-acylglycerol-3-phosphate O-acyltransferase 3) (1-AGP acyltransferase 3) (1-AGPAT 3) (Lysophosphatidic acid acyltransferase gamma) (LPAAT-gamma),376,43381
Q9NRZ9,Lymphoid-specific helicase (EC 3.6.4.-) (Proliferation-associated SNF2-like protein) (SWI/SNF2-related matrix-associated actin-dependent regulator of chromatin subfamily A member 6),838,97074
Q9NS00,"Glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1 (EC 2.4.1.122) (B3Gal-T8) (Core 1 O-glycan T-synthase) (Core 1 UDP-galactose:N-acetylgalactosamine-alpha-R beta 1,3-galactosyltransferase 1) (Beta-1,3-galactosyltransferase) (Core 1 beta1,3-galactosyltransferase 1) (C1GalT1) (Core 1 beta3-Gal-T1)",363,42203
Q9NS15,Latent-transforming growth factor beta-binding protein 3 (LTBP-3),1303,139359
Q9NS18,"Glutaredoxin-2, mitochondrial",164,18052
Q9NS23,Ras association domain-containing protein 1,344,39219
Q9NS37,CREB/ATF bZIP transcription factor (Host cell factor-binding transcription factor Zhangfei) (HCF-binding transcription factor Zhangfei),354,37134
Q9NS39,Double-stranded RNA-specific editase B2 (EC 3.5.-.-) (RNA-dependent adenosine deaminase 3) (RNA-editing deaminase 2) (RNA-editing enzyme 2) (dsRNA adenosine deaminase B2),739,80621
Q9NS40,Potassium voltage-gated channel subfamily H member 7 (Ether-a-go-go-related gene potassium channel 3) (ERG-3) (Eag-related protein 3) (Ether-a-go-go-related protein 3) (hERG-3) (Voltage-gated potassium channel subunit Kv11.3),1196,135000
Q9NS56,E3 ubiquitin-protein ligase Topors (EC 2.3.2.27) (RING-type E3 ubiquitin transferase Topors) (SUMO1-protein E3 ligase Topors) (Topoisomerase I-binding RING finger protein) (Topoisomerase I-binding arginine/serine-rich protein) (Tumor suppressor p53-binding protein 3) (p53-binding protein 3) (p53BP3),1045,119198
Q9NS61,Kv channel-interacting protein 2 (KChIP2) (A-type potassium channel modulatory protein 2) (Cardiac voltage-gated potassium channel modulatory subunit) (Potassium channel-interacting protein 2),270,30907
Q9NS62,Thrombospondin type-1 domain-containing protein 1 (Transmembrane molecule with thrombospondin module),852,94584
Q9NS64,Protein reprimo,109,11774
Q9NS68,Tumor necrosis factor receptor superfamily member 19 (TRADE) (Toxicity and JNK inducer),423,46015
Q9NS69,Mitochondrial import receptor subunit TOM22 homolog (hTom22) (1C9-2) (Translocase of outer membrane 22 kDa subunit homolog),142,15522
Q9NS71,Gastrokine-1 (18 kDa antrum mucosa protein) (AMP-18) (Protein CA11),185,20331
Q9NS73,MAP3K12-binding inhibitory protein 1 (MAPK upstream kinase-binding inhibitory protein) (MUK-binding inhibitory protein),344,39281
Q9NS75,Cysteinyl leukotriene receptor 2 (CysLTR2) (G-protein coupled receptor GPCR21) (hGPCR21) (G-protein coupled receptor HG57) (HPN321),346,39635
Q9NS82,Asc-type amino acid transporter 1 (Asc-1) (Solute carrier family 7 member 10),523,56798
Q9NS84,Carbohydrate sulfotransferase 7 (EC 2.8.2.-) (EC 2.8.2.17) (Chondroitin 6-sulfotransferase 2) (C6ST-2) (Galactose/N-acetylglucosamine/N-acetylglucosamine 6-O-sulfotransferase 5) (GST-5) (N-acetylglucosamine 6-O-sulfotransferase 4) (GlcNAc6ST-4) (Gn6st-4),486,54266
Q9NS86,LanC-like protein 2 (Testis-specific adriamycin sensitivity protein),450,50854
Q9NS87,Kinesin-like protein KIF15 (Kinesin-like protein 2) (hKLP2) (Kinesin-like protein 7) (Serologically defined breast cancer antigen NY-BR-62),1388,160160
Q9NS91,E3 ubiquitin-protein ligase RAD18 (EC 2.3.2.27) (Postreplication repair protein RAD18) (hHR18) (hRAD18) (RING finger protein 73) (RING-type E3 ubiquitin transferase RAD18),495,56223
Q9NSA0,Solute carrier family 22 member 11 (Organic anion transporter 4) (OAT4) (Organic anion:dicarboxylate exchanger OAT4),550,59972
Q9NSA1,Fibroblast growth factor 21 (FGF-21),209,22300
Q9NSA2,Potassium voltage-gated channel subfamily D member 1 (Voltage-gated potassium channel subunit Kv4.1),647,71330
Q9NSA3,Beta-catenin-interacting protein 1 (Inhibitor of beta-catenin and Tcf-4),81,9170
Q9NSB2,"Keratin, type II cuticular Hb4 (Keratin-84) (K84) (Type II hair keratin Hb4) (Type-II keratin Kb24)",600,64842
Q9NSB4,"Keratin, type II cuticular Hb2 (Keratin-82) (K82) (Type II hair keratin Hb2) (Type-II keratin Kb22)",513,56653
Q9NSB8,Homer protein homolog 2 (Homer-2) (Cupidin),354,40627
Q9NSC2,Sal-like protein 1 (Spalt-like transcription factor 1) (Zinc finger protein 794) (Zinc finger protein SALL1) (Zinc finger protein Spalt-1) (HSal1) (Sal-1),1324,140405
Q9NSC5,Homer protein homolog 3 (Homer-3),361,39836
Q9NSC7,"Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 1 (EC 2.4.3.3) (GalNAc alpha-2,6-sialyltransferase I) (ST6GalNAc I) (ST6GalNAc-I) (ST6GalNAcI) (hST6GalNAc-I) (Sialyltransferase 7A) (SIAT7-A)",600,68564
Q9NSD4,Zinc finger protein 275,429,48443
Q9NSD5,Sodium- and chloride-dependent GABA transporter 2 (GAT-2) (Solute carrier family 6 member 13),602,68009
Q9NSD9,Phenylalanine--tRNA ligase beta subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase beta subunit) (PheRS),589,66116
Q9NSE2,Cytokine-inducible SH2-containing protein (CIS) (CIS-1) (Protein G18) (Suppressor of cytokine signaling) (SOCS),258,28663
Q9NSE4,"Isoleucine--tRNA ligase, mitochondrial (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IleRS)",1012,113792
Q9NSI6,Bromodomain and WD repeat-containing protein 1 (WD repeat-containing protein 9),2320,262936
Q9NSI8,"SAM domain-containing protein SAMSN-1 (Hematopoietic adaptor containing SH3 and SAM domains 1) (Nash1) (SAM domain, SH3 domain and nuclear localization signals protein 1) (SH3-SAM adaptor protein)",373,41708
Q9NSK0,Kinesin light chain 4 (KLC 4) (Kinesin-like protein 8),619,68640
Q9NSK7,Protein C19orf12,152,16286
Q9NSN8,Gamma-1-syntrophin (G1SYN) (Syntrophin-4) (SYN4),517,57969
Q9NST1,1-acylglycerol-3-phosphate O-acyltransferase PNPLA3 (EC 2.3.1.51) (Acylglycerol transacylase) (Adiponutrin) (ADPN) (Calcium-independent phospholipase A2-epsilon) (iPLA2-epsilon) (EC 3.1.1.4) (Lysophosphatidic acid acyltransferase) (Patatin-like phospholipase domain-containing protein 3) (EC 3.1.1.3),481,52865
